soc_code,soc_title,n_onet_occupations,onet_codes,total_employment,annual_mean_wage,annual_median_wage,susceptibility,susceptibility_sd_within_soc,exposure,anchoring,deployment_gap,quadrant,wage_bill_usd,stem_occupation_types
19-3011,Economists,2,19-3011.01;19-3011.00,17790.0,142130.0,124720.0,67.1,0.8,74.1,40.0,44.4,Displaceable,2528492700,"Research, Development, Design, and Practitioners"
29-1212,Cardiologists,1,29-1212.00,17290.0,454940.0,496010.0,46.6,0.0,52.8,59.7,30.7,Human-anchored,7865912600,"Research, Development, Design, and Practitioners"
29-2033,Nuclear Medicine Technologists,1,29-2033.00,17080.0,105160.0,101370.0,47.2,0.0,43.9,49.4,8.2,Human-anchored,1796132800,Technologists and Technicians
29-1124,Radiation Therapists,1,29-1124.00,17070.0,114990.0,105310.0,43.2,0.0,41.2,54.8,12.5,Human-anchored,1962879300,"Research, Development, Design, and Practitioners"
25-1065,"Political Science Teachers, Postsecondary",1,25-1065.00,16970.0,108100.0,98070.0,67.5,0.0,71.3,36.2,36.3,Displaceable,1834457000,Postsecondary Teaching
17-3028,Calibration Technologists and Technicians,1,17-3028.00,16540.0,74170.0,67820.0,57.9,0.0,51.8,35.9,13.1,Insulated,1226771800,Technologists and Technicians
19-1013,Soil and Plant Scientists,1,19-1013.00,15730.0,87720.0,78850.0,60.5,0.0,64.5,43.5,38.7,Contested,1379835600,"Research, Development, Design, and Practitioners"
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,2,17-3024.00;17-3024.01,15520.0,76420.0,73900.0,54.2,2.2,47.3,38.8,9.1,Insulated,1186038400,Technologists and Technicians
17-2161,Nuclear Engineers,1,17-2161.00,15280.0,140420.0,133970.0,60.1,0.0,63.6,43.4,33.2,Contested,2145617600,"Research, Development, Design, and Practitioners"
19-4012,Agricultural Technicians,2,19-4012.01;19-4012.00,15130.0,53840.0,49630.0,57.8,10.8,51.5,36.0,10.4,Displaceable,814599200,Technologists and Technicians
29-1125,Recreational Therapists,1,29-1125.00,14930.0,67630.0,61960.0,51.0,0.0,60.7,58.8,42.4,Human-anchored,1009715900,"Research, Development, Design, and Practitioners"
